fid,shapeName,shapeID,shapeGroup,shapeType,prov_id,ownerCountry,population,recruitablePopulation,economyValue,infrastructure,supplyLimit,terrainType,food,steel,coal,oil,aluminium,chromium,tungsten,rubber,civilianFactories,militaryFactories,dockyards,refineries,resistance,compliance,stationedTroops
1,Blagoevgrad,22928101B16069235588997,BGR,ADM1,2,BGR,295000,53100,14,38,607,Mountain,6,0,1,0,0,0,0,0,0,0,0,0,0,70,0
2,Burgas,22928101B44315306220510,BGR,ADM1,3,BGR,410000,73800,50,72,2124,Urban,9,2,1,3,0,0,0,0,3,1,3,2,0,70,0
3,Dobrich,22928101B87459279051229,BGR,ADM1,4,BGR,170000,30600,17,51,1020,Plains,14,0,0,0,0,0,0,0,0,0,0,0,0,70,0
4,Gabrovo,22928101B98033392474290,BGR,ADM1,5,BGR,105000,18900,12,38,570,Mountain,3,0,0,0,0,0,0,0,0,0,0,0,0,70,0
5,Haskovo,22928101B79406413645892,BGR,ADM1,6,BGR,220000,39600,19,51,1020,Plains,9,0,0,0,0,0,0,0,0,0,0,0,0,70,0
6,Kardzhali,22928101B68200013052436,BGR,ADM1,7,BGR,150000,27000,12,38,570,Mountain,3,0,0,0,0,0,0,0,0,0,0,0,0,70,0
7,Kyustendil,22928101B44341321223640,BGR,ADM1,8,BGR,115000,20700,12,38,570,Mountain,5,0,3,0,0,0,0,0,0,0,0,0,0,70,0
8,Lovech,22928101B46852240648203,BGR,ADM1,9,BGR,120000,21600,15,46,920,Forest,4,0,1,0,0,0,0,0,0,0,0,0,0,70,0
9,Montana,22928101B62968334423713,BGR,ADM1,10,BGR,120000,21600,17,51,1020,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
10,Pazardzhik,22928101B54448324978016,BGR,ADM1,11,BGR,250000,45000,19,51,1070,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
11,Pernik,22928101B96010659565513,BGR,ADM1,12,BGR,120000,21600,12,38,570,Mountain,3,2,4,0,0,0,0,0,0,0,0,0,0,70,0
12,Pleven,22928101B31715207622661,BGR,ADM1,13,BGR,230000,41400,32,54,1120,Plains,10,0,0,0,0,0,0,0,1,0,0,0,0,70,0
13,Plovdiv,22928101B63653503228719,BGR,ADM1,14,BGR,660000,118800,55,72,2040,Urban,13,2,0,0,0,0,0,0,3,1,0,0,0,70,0
14,Razgrad,22928101B37005697936135,BGR,ADM1,15,BGR,110000,19800,17,51,1020,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
15,Ruse,22928101B77314555344177,BGR,ADM1,16,BGR,215000,38700,36,62,1360,Plains,9,2,0,0,0,0,0,0,2,1,0,0,0,70,0
16,Shumen,22928101B51752222739071,BGR,ADM1,17,BGR,170000,30600,17,51,1020,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
17,Silistra,22928101B76058973774161,BGR,ADM1,18,BGR,110000,19800,17,51,1020,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
18,Sliven,22928101B44229797432023,BGR,ADM1,19,BGR,180000,32400,17,51,1020,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
19,Smolyan,22928101B66285988905372,BGR,ADM1,20,BGR,100000,18000,12,38,570,Mountain,3,0,0,0,0,0,0,0,0,0,0,0,0,70,0
20,Sofia,22928101B17014479854950,BGR,ADM1,21,BGR,230000,41400,14,38,570,Mountain,3,0,0,0,0,0,0,0,0,0,0,0,0,70,0
21,Sofia City,22928101B40975042441370,BGR,ADM1,22,BGR,1250000,225000,95,85,2724,Urban,6,1,0,0,0,0,0,0,5,3,0,0,0,70,0
22,Stara Zagora,22928101B69206981842261,BGR,ADM1,23,BGR,310000,55800,42,66,1490,Plains,10,2,10,0,0,0,0,0,2,1,0,0,0,70,0
23,Targovishte,22928101B13229128735183,BGR,ADM1,24,BGR,110000,19800,17,51,1020,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
24,Varna,22928101B59958785683132,BGR,ADM1,25,BGR,470000,84600,52,74,2220,Urban,8,2,0,0,0,0,0,0,3,1,4,0,0,70,0
25,Veliko Tarnovo,22928101B33485564928872,BGR,ADM1,26,BGR,230000,41400,32,49,1020,Forest,4,0,1,0,0,0,0,0,1,0,0,0,0,70,0
26,Vidin,22928101B21472932183906,BGR,ADM1,27,BGR,75000,13500,15,51,1020,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
27,Vratsa,22928101B85643102977503,BGR,ADM1,28,BGR,160000,28800,12,38,570,Mountain,3,0,0,0,0,0,0,0,0,0,0,0,0,70,0
28,Yambol,22928101B84935851538926,BGR,ADM1,29,BGR,120000,21600,17,51,1020,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
29,Agion Oros,93993887B40019078264500,GRC,ADM1,30,GRC,2000,360,1,20,300,Mountain,1,0,0,0,0,0,0,0,0,0,0,0,0,95,0
30,Crete,93993887B64949910323779,GRC,ADM1,31,GRC,650000,117000,55,62,1650,Coastal,10,0,0,1,0,0,0,0,2,0,2,0,0,70,0
31,Attica,93993887B88980272284763,GRC,ADM1,32,GRC,3800000,684000,135,90,3500,Urban,7,4,0,2,2,0,0,0,7,3,5,2,0,70,0
32,Macedonia-Thrace,93993887B93147517098288,GRC,ADM1,33,GRC,2600000,468000,88,74,2300,Plains,18,4,6,1,0,0,0,0,4,2,2,1,0,70,0
33,Epirus-Western Macedonia,93993887B75841959134679,GRC,ADM1,34,GRC,650000,117000,36,48,825,Mountain,7,2,8,0,0,0,0,0,1,0,0,0,0,70,0
34,Peloponisos-W. Greece & Ionian,93993887B43116936981453,GRC,ADM1,35,GRC,1550000,279000,68,66,2090,Coastal,15,0,0,1,0,0,0,0,3,1,3,0,0,70,0
35,Egean,93993887B85814589700959,GRC,ADM1,36,GRC,550000,99000,48,60,1650,Coastal,8,0,0,0,0,0,0,0,2,0,3,0,0,70,0
36,Thessalia-Central Greece,93993887B20638565859558,GRC,ADM1,37,GRC,1400000,252000,60,64,1690,Plains,20,0,2,0,0,0,0,0,3,1,0,0,0,70,0
37,Adana,25984515B95172477822815,TUR,ADM1,38,TUR,2280000,410400,88,80,2796,Urban,20,2,0,1,0,0,0,0,5,2,0,0,0,70,0
38,Adıyaman,25984515B90872828599679,TUR,ADM1,39,TUR,635000,114300,27,53,1200,Plains,8,0,0,10,0,0,0,0,1,0,0,0,0,70,0
39,Afyonkarahisar,25984515B26209284550223,TUR,ADM1,40,TUR,750000,135000,29,53,1250,Plains,8,0,0,0,0,0,0,0,1,0,0,0,0,70,0
40,Ağrı,25984515B39003465173278,TUR,ADM1,41,TUR,510000,91800,20,38,645,Mountain,3,0,0,0,0,0,0,0,0,0,0,0,0,70,0
41,Amasya,25984515B32583172380009,TUR,ADM1,42,TUR,340000,61200,21,52,1090,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
42,Antalya,25984515B97476213604692,TUR,ADM1,43,TUR,2700000,486000,95,82,2952,Urban,17,1,0,0,2,0,0,0,5,1,2,0,0,70,0
43,Artvin,25984515B1602304411378,TUR,ADM1,44,TUR,170000,30600,12,38,570,Mountain,3,0,0,0,0,0,0,0,0,0,0,0,0,70,0
44,Aydın,25984515B63739470532168,TUR,ADM1,45,TUR,1150000,207000,58,65,1826,Coastal,18,0,0,0,0,0,0,0,3,0,1,0,0,70,0
45,Balıkesir,25984515B55384476443375,TUR,ADM1,46,TUR,1270000,228600,62,70,1991,Coastal,18,0,0,0,0,0,0,0,2,1,1,0,0,70,0
46,Ankara,25984515B47806653651907,TUR,ADM1,47,TUR,5800000,1044000,115,88,3500,Urban,7,5,0,0,0,0,0,0,7,5,0,0,0,70,0
47,Aksaray,25984515B40051660631000,TUR,ADM1,48,TUR,440000,79200,23,52,1090,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
48,Ardahan,25984515B60965754972902,TUR,ADM1,49,TUR,92000,16560,10,38,570,Mountain,3,0,0,0,0,0,0,0,0,0,0,0,0,70,0
49,Bartın,25984515B74564265494308,TUR,ADM1,50,TUR,205000,36900,17,46,920,Forest,4,0,1,0,0,0,0,0,0,0,0,0,0,70,0
50,Batman,25984515B679661827679,TUR,ADM1,51,TUR,650000,117000,42,56,1300,Plains,5,0,0,15,0,0,0,0,2,0,0,1,0,70,0
51,Bayburt,25984515B37590323286202,TUR,ADM1,52,TUR,85000,15300,10,38,570,Mountain,3,0,0,0,0,0,0,0,0,0,0,0,0,70,0
52,Bilecik,25984515B39892287187022,TUR,ADM1,53,TUR,230000,41400,17,46,920,Forest,4,0,1,0,0,0,0,0,0,0,0,0,0,70,0
53,Bingöl,25984515B43512589741592,TUR,ADM1,54,TUR,285000,51300,14,38,607,Mountain,3,0,0,0,0,0,0,0,0,0,0,0,0,70,0
54,Bitlis,25984515B19802935753104,TUR,ADM1,55,TUR,355000,63900,16,39,622,Mountain,3,0,0,0,0,0,0,0,0,0,0,0,0,70,0
55,Bolu,25984515B96039700866385,TUR,ADM1,56,TUR,325000,58500,19,46,970,Forest,4,0,1,0,0,0,0,0,0,0,0,0,0,70,0
56,Burdur,25984515B90474549897215,TUR,ADM1,57,TUR,275000,49500,19,51,1070,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
57,Bursa,25984515B5155931768473,TUR,ADM1,58,TUR,3200000,576000,110,85,3240,Urban,12,7,0,0,0,3,2,0,6,3,1,0,0,70,0
58,Çanakkale,25984515B45885295326030,TUR,ADM1,59,TUR,570000,102600,33,60,1650,Coastal,10,0,4,0,0,0,1,0,2,1,2,0,0,70,0
59,Çankırı,25984515B3524648625362,TUR,ADM1,60,TUR,200000,36000,19,51,1020,Plains,8,0,0,0,0,0,0,0,0,0,0,0,0,70,0
60,Çorum,25984515B57743432888015,TUR,ADM1,61,TUR,530000,95400,25,53,1200,Plains,8,0,0,0,0,0,0,0,1,0,0,0,0,70,0
61,Denizli,25984515B90258821264291,TUR,ADM1,62,TUR,1060000,190800,68,72,1760,Plains,10,2,0,0,0,2,0,0,2,1,0,0,0,70,0
62,Diyarbakır,25984515B99670107521163,TUR,ADM1,63,TUR,1820000,327600,56,60,1670,Plains,12,0,0,5,0,0,0,0,2,1,0,0,0,70,0
63,Düzce,25984515B87415935832289,TUR,ADM1,64,TUR,410000,73800,21,47,990,Forest,4,0,1,0,0,0,0,0,0,0,0,0,0,70,0
64,Edirne,25984515B68163725002210,TUR,ADM1,65,TUR,420000,75600,23,52,1090,Plains,14,0,2,0,0,0,0,0,0,0,0,0,0,70,0
